 36, 36
 15, 11, 26,  8,  7, 17,  5, 36, 32, 24, 35, 16,  6, 12, 13,  1, 27, 31, 18, 25, 22, 33,  9, 21, 14, 19, 10, 34,  2, 23, 20, 29, 30,  4,  3, 28
  5, 35, 32, 16, 36, 24, 12,  1, 13, 27,  6, 31, 21, 22, 33,  9, 18, 25,  2, 34, 10, 14, 23, 19,  3,  4, 28, 30, 29, 20, 26, 17,  7,  8, 15, 11
 12, 27, 31,  1,  6, 13, 33, 18,  9, 22, 21, 25, 19, 14, 23, 34,  2, 10, 20, 30, 29, 28,  3,  4, 26, 17, 15, 11,  8,  7, 35, 16, 36, 24, 32,  5
  9, 33, 22, 21, 18, 25, 19, 10, 23, 14, 34,  2, 30,  3, 20,  4, 28, 29, 26, 11,  8,  7, 15, 17,  5, 24, 35, 16, 32, 36, 27,  1, 13, 31, 12,  6
 19, 23,  2, 34, 10, 14,  3, 30, 28, 20,  4, 29, 26,  7, 11,  8, 17, 15, 24, 35, 16, 32, 36,  5,  6, 12, 27, 13, 31,  1, 22, 18, 25, 33, 21,  9
 29, 20, 30,  3,  4, 28, 11, 15,  8, 17, 26,  7,  5, 36, 16, 35, 24, 32, 13, 12, 31, 27,  1,  6, 22,  9, 18, 21, 25, 33, 23,  2, 14, 34, 10, 19
 13, 30, 14,  5, 20, 16, 28, 26,  1, 25, 24, 18,  2,  4,  6, 23,  8, 22,  7, 33,  3, 15, 17, 31, 12, 36,  9, 29, 27, 32, 34, 21, 11, 19, 35, 10
 36, 22,  9, 19, 12, 18, 15,  7, 35,  5, 32, 17, 24, 31, 21, 13,  3, 20,  6, 16, 25, 34, 28, 10, 11,  1,  2, 14, 26,  4, 33,  8, 23, 30, 27, 29
 32,  3, 17, 23, 24, 10,  2,  9, 29, 13, 12, 21, 35, 15,  1,  5, 36, 18,  8, 14, 20,  4, 27, 11, 31, 34, 30, 28, 33, 19,  6,  7, 22, 25, 16, 26
  6,  2, 11, 33, 31, 34, 14, 22, 19, 23,  3,  4,  7, 27, 28, 16, 26, 17, 29, 36,  1, 18, 35, 30, 10, 20, 13, 25, 21,  8, 12, 24, 15,  5,  9, 32
  7,  8,  4, 28, 21, 35, 30, 11, 34, 33, 36, 27, 14, 29, 12, 25, 10,  9, 23,  5, 26, 13, 19, 32, 17, 16, 22, 24,  6, 15, 31,  3,  2, 20,  1, 18
  1, 29, 15, 27, 25, 26,  6,  8, 16, 10, 31, 20, 34, 33, 30, 11, 32, 19, 12,  9, 24,  2, 21, 22, 23, 18,  3, 35,  7,  5, 36, 14, 28, 13,  4, 17
  3,  9, 29, 36, 17, 12, 34, 20,  5,  6, 30,  8, 31, 19,  7, 27, 33,  4, 10, 23, 32, 24, 25, 15, 18, 28, 16, 22, 13, 26, 21, 35,  1, 11, 14,  2
 35, 14,  5, 11, 15,  2, 18, 17, 27, 16,  1,  9, 10, 30, 22,  3, 13, 28, 31, 19, 36, 20,  6, 26, 32, 29,  8, 12, 23, 21, 25, 33, 24,  7, 34,  4
 26, 28,  8,  6, 33,  4, 10, 35, 11, 19, 23, 12, 32, 20, 18, 21, 34,  5, 22,  2,  7,  3, 16, 29, 36, 25, 14, 31,  1, 24, 13, 15,  9, 27, 17, 30
 24, 31, 23, 10, 30, 20, 26,  3, 25, 29,  7, 33, 16,  9, 36, 14,  6,  2, 17,  4, 21, 12, 13,  1, 15, 11, 34, 27, 19, 35, 18, 32,  5, 28,  8, 22
 18, 19, 16, 25, 32,  1, 24,  2,  4, 21, 22, 13, 17, 26, 35, 15, 23, 11, 28, 27, 14, 30, 34,  8, 33,  7,  6, 20,  5,  9, 10, 31, 29,  3, 36, 12
 22, 34, 27,  7, 13, 21, 32, 31, 14, 28, 15, 36,  8, 24, 25, 29,  1, 12, 11, 18,  9, 35,  5, 33,  2, 10, 17,  3,  4, 30, 16, 23,  6, 26, 19, 20
 25, 10, 34, 12, 22,  7, 13, 24, 31,  1,  2, 14, 20,  6, 17, 28,  4,  8, 27, 29, 33,  9, 26,  3, 30, 35, 36, 32, 16, 11, 19,  5, 21, 15, 18, 23
